time,portfolio_value
2232,85.9858417856899
2233,86.56028029062001
2234,86.67985897983209
2235,85.98890037295322
2236,86.8503099917601
2237,86.13463634638407
2238,87.47982575152915
2239,86.85723586918594
2240,86.80188485782051
2241,84.0839464864079
2242,83.26139486676404
2243,83.83955720201448
2244,84.44114948617401
2245,85.11806767835006
2246,85.28552684650703
2247,85.1539182286507
2248,86.01834714308146
2249,85.02032980440042
2250,85.12088545363936
2251,85.14356490108337
2252,85.07600324450316
2253,84.79069676842454
2254,84.3784030041308
2255,84.71986070268956
2256,84.30867827252501
2257,84.05122900838822
2258,83.36345668975737
2259,83.01969097074124
2260,82.89161348746443
2261,82.54949840966134
2262,82.57311991523846
2263,82.59631711415811
2264,82.9071812243851
2265,82.61644380179753
2266,82.476244746716
2267,81.82579863081942
2268,80.65574064608681
2269,80.7177267634978
2270,80.17271132208094
2271,80.16066301454788
2272,80.1483425059137
2273,80.22186549453131
2274,79.39851761073943
2275,79.4481000512829
2276,79.16699877846102
2277,79.82641244411998
2278,79.7399171152167
2279,79.38603278807393
2280,78.92406595408052
2281,78.40309525493994
2282,78.13762483207014
2283,78.00554444423682
2284,77.95791967782709
2285,76.93734732752105
2286,76.5318395263522
2287,76.5104369329637
2288,76.38136920886228
2289,76.02613711744664
2290,75.90983278325075
2291,74.93927509535871
2292,73.42750961259655
2293,74.58086996963853
2294,73.99533654052308
2295,73.29412339640675
2296,71.54978082594928
2297,68.78029753815811
2298,68.95875453935808
2299,66.89396733500529
2300,67.48286069204121
2301,66.277839388626
2302,66.59808228841116
2303,66.1753198444462
2304,67.09519158098524
2305,66.03794482869618
2306,64.14399053325158
2307,63.79740052611684
2308,62.88991075331945
2309,59.07824262518974
2310,59.45138456024395
2311,62.21707870106962
2312,61.99029987768832
2313,62.581796470123194
2314,61.459382956640425
2315,62.23005054894077
2316,64.14875030324762
2317,65.25969641024294
2318,64.53337660463703
2319,63.080382019402464
2320,65.1938533267007
2321,64.42652956752612
2322,64.35350653850686
2323,65.50490882626355
2324,65.26287876243485
2325,65.5869593995299
2326,64.88051228210541
2327,64.24287999508786
2328,65.93276127083885
2329,65.6909818019325
2330,65.10964940898533
2331,65.58196862458581
2332,64.5325684315532
2333,63.63984603360985
2334,63.70862301064718
2335,63.233533936905715
2336,63.24811527034955
2337,63.64120230675477
2338,65.4258840683728
2339,64.89623383048425
2340,65.87463751232669
2341,63.982077993311734
2342,63.5005634767214
2343,61.39520519857455
2344,61.251130607286655
2345,60.91566053430949
2346,59.55016130479204
2347,59.844868069073755
2348,59.68288736186479
2349,59.19375239927253
2350,58.87506117182576
2351,58.55740753361255
2352,58.30380839913988
2353,58.03002455430128
2354,57.37003243914945
2355,58.40379767863499
2356,58.94348110321514
2357,58.89844424086094
2358,59.74585555896728
2359,59.57463757356099
2360,58.88704037426531
2361,58.893115228330835
2362,57.55025719226324
2363,57.712629395248534
2364,58.4175895948462
2365,57.891468877948604
2366,58.22512207606554
2367,59.06684628670771
2368,64.7877008988413
2369,63.612532630587076
2370,64.07301106427981
2371,64.77406956225961
2372,64.9069588542648
2373,64.33408216423734
2374,63.47175887275413
2375,62.57250263204682
2376,62.207160807688226
2377,61.92295595118478
2378,61.290659898657516
2379,61.347255945272714
2380,61.94958587276894
2381,61.92486014251471
2382,61.32628818053088
2383,61.34189882675258
2384,61.69216424769696
2385,61.421359557042834
2386,60.92570392379079
2387,60.76474197220494
2388,59.82231677383211
2389,59.761254490256114
2390,57.432115436743516
2391,57.59903778213827
2392,57.50328806199754
2393,57.79473086870044
2394,57.814392369084445
2395,58.39271068230457
2396,57.9585868124936
2397,58.25547855774261
